"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT2,BT1";"CR2032 standing 1074";2;"CR2032";;;
2;"UNK_HOLE_0";"dummyfp0";1;"";;;
3;"U2";"TO-220-3_Vertical";1;"LF33_TO220";;;
4;"SW3";"tactile smd 13019319";1;"RESET ATMEGA";;;
5;"C11,C9,C1,C12,C10,C3,C6,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"0.1uF";;;
6;"SW1";"SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm";1;"SW_DIP_x03";;;
7;"C14,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22pF";;;
8;"J1";"AVR ISP 6p";1;"ISP TINY";;;
9;"C4,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
10;"TP1";"Pin_D1.0mm_L10.0mm";1;"12V";;;
11;"J2";"RJ10 Horizontal";1;"Rain";;;
12;"J6";"AVR ISP 6p";1;"ISP MEGA";;;
13;"C2";"CP_Radial_D5.0mm_P2.00mm";1;"2.2uF";;;
14;"R10,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"330";;;
15;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
16;"UNK_HOLE_3";"dummyfp3";1;"";;;
17;"J7";"FTDI 6p";1;"FTDI MEGA";;;
18;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2k2";;;
19;"UNK_HOLE_2";"dummyfp2";1;"";;;
20;"AE1";"Antenna 868MHz";1;"Antenna";;;
21;"TP2";"Pin_D1.0mm_L10.0mm";1;"3.3V";;;
22;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
23;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"GREEN";;;
24;"R11,R4,R7,R2,R5,R6,R9,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"4k7";;;
25;"J5";"wago 26041102";1;"2604-1102";;;
26;"D3";"1N5819HW";1;"1N5819WS";;;
27;"D2";"1N5819HW";1;"BAP70";;;
28;"Y1";"Crystal SMD FOXSDLF08020";1;"Crystal";;;
29;"J4";"RJ10 Horizontal";1;"Temp";;;
30;"U3";"SOIC-8_5.3x5.3mm_P1.27mm";1;"ATtiny85V-10S";;;
31;"TP3";"Pin_D1.0mm_L10.0mm";1;"GND";;;
32;"U5";"HOPERF_RFM9XW_SMD";1;"RFM95W-868S2";;;
33;"SW2";"tactile smd 13019319";1;"RESET TINY";;;
34;"J3";"RJ10 Horizontal";1;"Wind";;;
35;"U4";"SOT-23-3";1;"XC6206PxxxMR";;;
36;"UNK_HOLE_1";"dummyfp1";1;"";;;
37;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"BLUE";;;
38;"C8";"CP_Radial_D10.0mm_P5.00mm";1;"1000uF";;;
